delays_time,delays
2021-09-04 11:00:01.421161,12.690361
2021-09-04 11:00:01.445225,10.278425
2021-09-04 11:00:01.462051,10.817251
2021-09-04 11:00:01.470848,12.392048
2021-09-04 11:00:01.487422,10.494622
2021-09-04 11:00:01.496767,12.417967
2021-09-04 11:00:01.505072,12.078272
2021-09-04 11:00:01.517326,12.438526
2021-09-04 11:00:01.529343,3.054543
2021-09-04 11:00:01.538509,11.067709
2021-09-04 11:00:01.545503,11.074703
2021-09-04 11:00:01.554428,12.823628
2021-09-04 11:00:01.562854,12.832054
2021-09-04 11:00:01.571103,7.446303
2021-09-04 11:00:01.578903,10.412103
2021-09-04 11:00:01.596368,12.865568
2021-09-04 11:00:01.603946,12.525146
2021-09-04 11:00:01.612145,12.533345
2021-09-04 11:00:01.629389,9.070589
2021-09-04 11:00:01.637329,10.644529
2021-09-04 11:00:01.645628,10.478828
2021-09-04 11:00:01.653839,7.529039
2021-09-04 11:00:01.662452,12.235652
2021-09-04 11:00:01.672538,12.593738
2021-09-04 11:00:01.679549,11.208749
2021-09-04 11:00:01.687958,7.563158
2021-09-04 11:00:01.696864,10.878064
2021-09-04 11:00:01.704680,12.27788
2021-09-04 11:00:01.712093,7.587293
2021-09-04 11:00:01.722148,11.077348
2021-09-04 11:00:01.729327,10.736527
2021-09-04 11:00:01.745934,3.271134
2021-09-04 11:00:01.754072,12.501272
2021-09-04 11:00:01.770561,10.777761
2021-09-04 11:00:01.778518,13.047718
2021-09-04 11:00:01.794605,12.541805
2021-09-04 11:00:01.805019,12.726219
2021-09-04 11:00:01.813421,10.820621
2021-09-04 11:00:01.821579,13.090779
2021-09-04 11:00:01.829352,7.704552
2021-09-04 11:00:01.837571,10.844771
2021-09-04 11:00:01.845631,12.418831
2021-09-04 11:00:01.854123,10.861323
2021-09-04 11:00:01.863882,10.871082
2021-09-04 11:00:01.872092,12.793292
2021-09-04 11:00:01.879086,13.148286
2021-09-04 11:00:01.892596,13.161796
2021-09-04 11:00:01.896027,10.903227
2021-09-04 11:00:01.904721,10.737921
2021-09-04 11:00:01.913536,9.354736
2021-09-04 11:00:01.922336,10.755536
2021-09-04 11:00:01.932377,9.373577
2021-09-04 11:00:01.940921,9.382121
2021-09-04 11:00:01.963638,7.490838
2021-09-04 11:00:01.972256,11.501456
2021-09-04 11:00:01.979745,11.508945
2021-09-04 11:00:01.987439,11.168639
2021-09-04 11:00:01.995871,12.743071
2021-09-04 11:00:02.004647,11.011847
2021-09-04 11:00:02.012320,11.36752
2021-09-04 11:00:02.024690,11.37989
2021-09-04 11:00:02.042298,11.397498
2021-09-04 11:00:02.047109,11.054309
2021-09-04 11:00:02.054718,12.801918
2021-09-04 11:00:02.063085,12.810285
2021-09-04 11:00:02.070556,12.991756
2021-09-04 11:00:02.079365,12.652565
2021-09-04 11:00:02.097162,11.452362
2021-09-04 11:00:02.104447,10.937647
2021-09-04 11:00:02.121561,13.042761
2021-09-04 11:00:02.130124,13.051324
2021-09-04 11:00:02.137749,11.666949
2021-09-04 11:00:02.145543,13.414743
2021-09-04 11:00:02.155294,3.680494
2021-09-04 11:00:02.162666,10.995866
2021-09-04 11:00:02.171622,8.046822
2021-09-04 11:00:02.187993,11.543193
2021-09-04 11:00:02.196121,11.551321
2021-09-04 11:00:02.204841,11.038041
2021-09-04 11:00:02.220546,11.227746
2021-09-04 11:00:02.229583,8.104783
2021-09-04 11:00:02.238384,13.159584
2021-09-04 11:00:02.246026,13.515226
2021-09-04 11:00:02.253928,11.435128
2021-09-04 11:00:02.262295,13.183495
2021-09-04 11:00:02.271936,13.541136
2021-09-04 11:00:02.279466,11.286666
2021-09-04 11:00:02.287100,11.6423
2021-09-04 11:00:02.295867,3.821067
2021-09-04 11:00:02.304756,11.659956
2021-09-04 11:00:02.312767,3.837967
2021-09-04 11:00:02.321292,2.280492
2021-09-04 11:00:02.328847,13.598047
2021-09-04 11:00:02.337739,13.258939
2021-09-04 11:00:02.345894,8.221094
2021-09-04 11:00:02.353997,7.881197
2021-09-04 11:00:02.362466,13.109666
2021-09-04 11:00:02.370931,11.378131
2021-09-04 11:00:02.378875,13.300075
2021-09-04 11:00:02.387557,8.262757
2021-09-04 11:00:02.395234,11.576434
2021-09-04 11:00:02.404511,13.673711
2021-09-04 11:00:02.412388,11.941588
2021-09-04 11:00:02.423201,4.470401
2021-09-04 11:00:02.429594,13.872794
2021-09-04 11:00:02.438371,13.881571
2021-09-04 11:00:02.445481,0.031319
2021-09-04 11:00:02.454140,11.98334
2021-09-04 11:00:02.463369,8.164569
2021-09-04 11:00:02.471393,0.005407
2021-09-04 11:00:02.488373,8.189573
2021-09-04 11:00:02.569007,8.270207
2021-09-04 11:00:02.587373,0.063427
2021-09-04 11:00:02.745291,0.079509
2021-09-04 11:00:02.855807,0.205007
2021-09-04 11:00:02.904296,0.094504
2021-09-04 11:00:03.045504,0.127296
2021-09-04 11:00:03.078906,0.428106
2021-09-04 11:00:03.204674,0.142126
2021-09-04 11:00:03.264424,12.619624
2021-09-04 11:00:03.282605,0.283805
2021-09-04 11:00:03.363467,0.157333
2021-09-04 11:00:03.495453,0.199347
2021-09-04 11:00:03.644995,0.223805
2021-09-04 11:00:03.812703,0.230097
2021-09-04 11:00:03.970907,0.245893
2021-09-04 11:00:04.112295,0.278505
2021-09-04 11:00:04.263542,0.301258
2021-09-04 11:00:04.411947,0.326853
2021-09-04 11:00:04.562459,0.350341
2021-09-04 11:00:04.712004,0.374796
2021-09-04 11:00:04.844971,0.415829
2021-09-04 11:00:04.996208,0.438592
2021-09-04 11:00:05.145637,0.463163
2021-09-04 11:00:05.295568,0.487232
2021-09-04 11:00:05.445568,0.511232
2021-09-04 11:00:05.611663,0.519137
2021-09-04 11:00:05.768265,0.536535
2021-09-04 11:00:05.912780,0.56602
2021-09-04 11:00:06.053494,0.599306
2021-09-04 11:00:06.080046,24.236754
2021-09-04 11:00:06.204709,0.622091
2021-09-04 11:00:06.354336,0.646464
2021-09-04 11:00:06.497026,0.677774
2021-09-04 11:00:06.645582,0.703218
2021-09-04 11:00:06.787785,0.735015
2021-09-04 11:00:06.947175,0.749625
2021-09-04 11:00:07.087015,0.783785
2021-09-04 11:00:07.229629,0.815171
2021-09-04 11:00:07.373032,0.845768
2021-09-04 11:00:07.512080,0.88072
2021-09-04 11:00:07.611973,3.216827
2021-09-04 11:00:07.662639,0.904161
2021-09-04 11:00:07.821519,0.919281
2021-09-04 11:00:07.963142,0.951658
2021-09-04 11:00:08.111606,0.977194
2021-09-04 11:00:08.237923,1.024877
2021-09-04 11:00:08.383450,1.05335
2021-09-04 11:00:08.427488,0.313312
2021-09-04 11:00:08.520070,1.09073
2021-09-04 11:00:08.679300,1.1055
2021-09-04 11:00:08.824059,1.134741
2021-09-04 11:00:08.978617,1.154183
2021-09-04 11:00:09.246612,1.234188
2021-09-04 11:00:09.387317,2.137483
2021-09-04 11:00:09.403846,1.250954
2021-09-04 11:00:09.553673,1.275127
2021-09-04 11:00:09.712343,1.290457
2021-09-04 11:00:09.861714,1.315086
2021-09-04 11:00:10.011384,1.339416
2021-09-04 11:00:10.163690,1.36111
2021-09-04 11:00:10.312168,1.386632
2021-09-04 11:00:10.454505,1.418295
2021-09-04 11:00:10.596644,1.450156
2021-09-04 11:00:10.754611,1.466189
2021-09-04 11:00:10.903278,1.491522
2021-09-04 11:00:11.055104,1.513696
2021-09-04 11:00:11.195584,1.547216
2021-09-04 11:00:11.486915,1.603885
2021-09-04 11:00:11.628752,1.636048
2021-09-04 11:00:11.779105,1.659695
2021-09-04 11:00:11.920520,1.69228
2021-09-04 11:00:12.054378,1.732422
2021-09-04 11:00:12.211484,1.749316
2021-09-04 11:00:12.363712,1.771088
2021-09-04 11:00:12.511629,1.797171
2021-09-04 11:00:12.654677,1.828123
2021-09-04 11:00:12.796327,1.860473
2021-09-04 11:00:12.931013,1.899787
2021-09-04 11:00:13.080430,1.92437
2021-09-04 11:00:13.238298,1.940502
2021-09-04 11:00:13.378450,1.97435
2021-09-04 11:00:13.521193,2.005607
2021-09-04 11:00:13.667580,2.03322
2021-09-04 11:00:13.811497,2.063303
2021-09-04 11:00:13.973834,2.074966
2021-09-04 11:00:14.129554,2.093246
2021-09-04 11:00:14.263203,2.133597
2021-09-04 11:00:14.405164,2.165636
2021-09-04 11:00:14.554420,2.19038
2021-09-04 11:00:14.711523,2.207277
2021-09-04 11:00:14.861842,2.230958
2021-09-04 11:00:15.011133,2.255667
2021-09-04 11:00:15.162064,2.278736
2021-09-04 11:00:15.311654,2.303146
2021-09-04 11:00:15.452504,2.336296
2021-09-04 11:00:15.604092,2.358708
2021-09-04 11:00:15.653520,2.83128
2021-09-04 11:00:15.761575,2.375225
2021-09-04 11:00:15.911835,2.398965
2021-09-04 11:00:15.970043,1.992757
2021-09-04 11:00:16.062016,2.422784
2021-09-04 11:00:16.078989,1.883811
2021-09-04 11:00:16.204082,2.454718
2021-09-04 11:00:16.344200,2.4886
